MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
KIDNAP (2017-I),10,3,17,15,12,19,23,71,66,67,70,78,41,37,37,51,44,7,3,5,11,10,9,5,7,14,12,4,4,4,6,4,2017,49532,SUSPNS/THRILLER,KIDNAPPING/HOSTAGE,AVIRON PICTURES,R,8/4/2017 1:00,8,3,1,10016323,14169283,2378,4212,5,NA,NA,30716642,NA
KING ARTHUR: LEGEND OF THE SWORD,15.4,3,17,17,16,17,19,78,80,83,71,75,39,42,40,33,39,6,5,7,3,6,22,28,24,18,18,3,4,3,2,3,2017,48080,ACTION ADVENTURE,PERIOD,WARNER BROS.,PG-13,5/12/2017 1:00,5,3,1,15371270,20351221,3702,4152,3,NA,NA,39141376,NA
KINGSMAN: THE GOLDEN CIRCLE,39,3,27,25,27,24,28,84,83,91,75,80,52,56,53,46,50,18,19,18,15,18,28,27,30,19,29,9,10,8,10,9,2017,65237,ACTION DRAMA,ESPIONAGE,20TH CENTURY FOX,R,9/22/2017 1:00,9,3,1,39023010,49701588,4003,9748,1,NA,NA,100229647,NA
KINGSMAN: THE SECRET SERVICE,41.8,4,18,16,16,19,19,75,78,82,66,72,51,53,55,45,49,16,19,20,12,16,22,21,28,17,23,NA,NA,NA,NA,NA,2015,44794,ACTION DRAMA,ESPIONAGE,20TH CENTURY FOX,R,2/13/2015 0:00,2,4,1,41761512,49580949,3204,13034,2,PRESIDENT'S DAY,NA,128258660,NA
KONG: SKULL ISLAND,61,3,27,28,30,27,21,87,88,93,83,86,51,60,57,41,45,15,20,20,10,10,27,31,30,27,19,7,8,12,5,5,2017,48386,ACTION ADVENTURE,MONSTER/CREATURE,WARNER BROS.,PG-13,3/10/2017 0:00,3,3,1,61025472,81275294,3846,15867,1,NA,NA,167986460,NA
KRAMPUS,16.3,3,23,24,17,30,21,69,71,65,76,64,40,39,37,44,41,7,7,4,13,6,16,16,13,21,16,6,5,3,9,5,2015,49287,HORROR,HORROR COMEDY,UNIVERSAL,PG-13,12/4/2015 0:00,12,3,1,16293325,20141330,2902,5615,2,NA,NA,42712410,NA
KUBO AND THE TWO STRINGS,12.6,3,17,17,17,18,16,63,66,64,57,64,38,42,36,42,31,5,6,4,5,3,9,10,10,10,8,3,4,3,2,3,2016,62269,FAMILY,ANIMATED,FOCUS FEATURES,PG,8/19/2016 1:00,8,3,1,12608372,17011378,3260,3868,4,NA,NA,48019281,NA
KUNG FU PANDA 3,41.3,3,30,29,27,31,33,92,93,88,97,91,41,45,39,37,45,9,12,6,7,12,20,24,16,16,26,7,8,6,6,8,2016,43320,FAMILY,ANIMATED,20TH CENTURY FOX,PG,1/29/2016 0:00,1,3,1,41282042,48050957,3955,10438,1,NA,NA,143523463,NA
LABOR DAY,5.2,3,10,9,9,10,13,61,52,55,61,76,28,16,29,29,35,5,1,4,8,10,8,3,9,9,14,NA,NA,NA,NA,NA,2014,45295,HUMN INTST DRMA,ABOUT FAMILY,PARAMOUNT,PG-13,1/31/2014 0:00,1,3,1,5175282,6942396,2584,2003,7,SUPERBOWL,NA,13362308,NA
LAST VEGAS,16.3,3,18,14,20,18,21,77,70,90,68,83,36,30,38,36,38,11,7,15,5,13,13,8,17,10,18,NA,NA,NA,NA,NA,2013,43316,HUMN INTST CMDY,BUDDY,CBS FILMS,PG-13,11/1/2013 1:00,11,3,1,16334566,22430736,3065,5329,3,NA,NA,63910583,NA
