MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
"HUNDRED-FOOT JOURNEY, THE",11,3,10,8,9,10,14,59,50,60,61,68,23,20,18,25,30,5,2,5,3,11,7,3,4,7,12,NA,NA,NA,NA,NA,2014,45376,HUMN INTST DRMA,WORKPLACE SETTING,DISNEY,PG,8/8/2014 1:00,8,3,1,10979290,16510131,2023,5427,4,NA,NA,54235441,NA
"HUNGER GAMES: CATCHING FIRE, THE",158.1,3,44,40,35,59,45,97,98,95,97,100,70,68,66,79,67,38,35,30,52,34,53,50,47,65,50,NA,NA,NA,NA,NA,2013,40580,ACTION ADVENTURE,SCIENCE FICTION,LIONS GATE FILMS,PG-13,11/22/2013 0:00,11,3,1,158074286,222116056,4163,37971,1,NA,NA,424645577,NA
"HUNGER GAMES: MOCKINGJAY PART 1, THE",121.9,3,42,38,36,48,45,96,96,93,98,96,71,69,65,80,72,37,34,26,45,41,48,44,39,59,51,NA,NA,NA,NA,NA,2014,42948,ACTION ADVENTURE,SCIENCE FICTION,LIONS GATE FILMS,PG-13,11/21/2014 0:00,11,3,1,121897634,168708305,4151,29366,1,NA,NA,337103873,NA
"HUNGER GAMES: MOCKINGJAY PART 2, THE",102.7,3,47,44,42,52,50,97,95,95,98,98,72,73,65,81,69,36,40,30,44,30,50,54,40,60,44,25,26,19,33,22,2015,42949,ACTION ADVENTURE,SCIENCE FICTION,LIONS GATE FILMS,PG-13,11/20/2015 0:00,11,3,1,102665981,146540534,4175,24591,1,NA,NA,281666058,NA
"HUNTSMAN: WINTER'S WAR, THE",19.4,3,18,14,16,22,22,80,78,73,84,85,43,44,37,48,41,9,5,7,15,11,24,24,23,26,24,5,2,5,6,8,2016,49076,ACTION ADVENTURE,FANTASY,UNIVERSAL,PG-13,4/22/2016 1:00,4,3,1,19445035,24596025,3791,5129,2,NA,NA,47952020,NA
"IDENTICAL, THE",1.6,3,5,3,7,4,6,42,36,51,35,45,30,28,31,28,31,3,3,3,3,4,7,5,8,7,9,NA,NA,NA,NA,NA,2014,47885,HUMN INTST DRMA,ABOUT FAMILY,FREESTYLE RELEASING,PG,9/5/2014 1:00,9,3,1,1587137,2174512,1956,811,12,NA,NA,2817092,NA
"INCREDIBLE BURT WONDERSTONE, THE",10.2,3,12,13,13,11,12,70,67,76,66,70,35,42,34,34,29,7,10,6,5,6,18,22,22,14,14,NA,NA,NA,NA,NA,2013,40099,HUMN INTST CMDY,ENTERTAINMENT SETTING,WARNER BROS.,PG-13,3/15/2013 1:00,3,3,1,10177257,13090430,3160,3221,3,NA,NA,22525921,NA
"INFILTRATOR, THE",5.3,3,8,7,9,7,9,46,49,57,34,43,30,31,33,21,33,3,4,5,1,1,7,7,10,2,5,0,0,1,1,0,2016,65044,HUMN INTST DRMA,CRIME THEME,BROAD GREEN PICTURES,R,7/15/2016 1:00,7,3,1,5303775,8945909,1601,3313,8,NA,NA,15436808,NA
"INTERN, THE",17.7,3,22,22,21,21,23,86,83,86,86,90,41,34,38,41,52,12,9,11,12,18,13,10,11,12,21,5,4,4,3,8,2015,46671,HUMN INTST CMDY,WORKPLACE SETTING,WARNER BROS.,PG-13,9/25/2015 1:00,9,3,1,17728313,24903892,3305,5364,2,NA,NA,75711361,NA
"INTERNSHIP, THE",17.3,3,14,14,12,16,14,74,71,75,71,77,31,33,24,35,31,4,5,4,6,4,9,8,9,10,10,NA,NA,NA,NA,NA,2013,42632,HUMN INTST CMDY,BUDDY,20TH CENTURY FOX,PG-13,6/7/2013 1:00,6,3,1,17325307,23951361,3366,5147,4,NA,NA,44665693,NA
"INTERVIEW (2014), THE",1.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,45798,ZANY COMEDY,IDENTITY CONFUSION,SONY PICTURES,R,12/25/2014 0:00,12,3,1,1794666,3875211,331,5422,16,CHRISTMAS,NA,6105175,NA
"JUDGE, THE",13.1,3,19,18,21,15,20,81,78,88,70,84,45,41,48,39,49,12,10,10,7,19,11,9,11,7,17,NA,NA,NA,NA,NA,2014,44668,HUMN INTST DRMA,COURTROOM,WARNER BROS.,R,10/10/2014 1:00,10,3,1,13116226,18903343,3003,4368,5,COLUMBUS DAY,NA,47105085,NA
"JUNGLE BOOK (2016), THE",103.3,3,42,42,37,44,44,95,92,94,97,98,55,52,48,61,59,15,13,12,16,19,28,24,25,30,32,11,9,7,11,16,2016,46677,FAMILY,LIVE ACTION,DISNEY,PG,4/15/2016 1:00,4,3,1,103261464,130674426,4028,25636,1,NA,NA,363995937,NA
"LAST EXORCISM II, THE",7.7,3,10,10,11,11,9,71,72,71,75,64,26,32,25,28,20,4,5,2,6,2,7,10,4,9,6,NA,NA,NA,NA,NA,2013,43030,HORROR,SUPERNATURAL,CBS FILMS,PG-13,3/1/2013 0:00,3,3,1,7728354,8962599,2700,2862,5,NA,NA,15152879,NA
"LAST STAND, THE",7.2,4,8,10,8,7,8,68,78,78,58,58,29,32,34,22,24,4,6,6,1,2,6,9,11,2,4,NA,NA,NA,NA,NA,2013,40425,ACTION DRAMA,CRIME THEME,LIONS GATE FILMS,R,1/18/2013 0:00,1,4,1,7213327,8533945,2913,2476,10,MARTIN LUTHER KING,NA,12026670,NA
"LAST WITCH HUNTER, THE",10.8,3,15,15,14,18,12,73,73,77,74,67,37,39,35,40,34,8,10,9,7,6,10,12,13,8,8,4,4,4,4,4,2015,49774,ACTION DRAMA,FANTASY,LIONS GATE FILMS,PG-13,10/23/2015 1:00,10,3,1,10812861,13862861,3082,3508,4,NA,NA,27356090,NA
"LAZARUS EFFECT, THE",10.2,3,15,16,15,17,14,75,78,78,70,76,35,41,32,33,34,8,11,8,9,9,14,15,13,13,14,NA,NA,NA,NA,NA,2015,46902,HORROR,SCIENCE FICTION,RELATIVITY MEDIA,PG-13,2/27/2015 0:00,2,3,1,10203437,12300316,2666,3827,5,NA,NA,25799043,NA
"LEGEND OF HERCULES, THE",8.9,3,11,11,14,7,11,70,76,79,63,64,35,39,36,33,30,5,8,6,3,2,11,19,13,8,6,NA,NA,NA,NA,NA,2014,45882,ACTION ADVENTURE,PERIOD,LIONS GATE FILMS,PG-13,1/10/2014 0:00,1,3,1,8868318,10975651,2104,4215,3,NA,NA,18821279,NA
"LEGEND OF TARZAN, THE",46.6,4,26,23,24,28,28,92,90,92,91,94,43,40,40,48,43,9,9,9,9,9,12,12,15,11,11,6,3,8,7,7,2016,47317,ACTION ADVENTURE,FISH-OUT-OF-WATER,WARNER BROS.,PG-13,7/1/2016 1:00,7,4,1,46582405,60797712,3561,13081,2,FOURTH OF JULY,NA,126585313,NA
"LEGO BATMAN MOVIE, THE",53,3,33,34,31,31,34,91,89,93,90,91,46,53,45,40,48,12,15,9,11,12,23,29,24,19,19,10,13,10,7,10,2017,47557,FAMILY,ANIMATED,WARNER BROS.,PG,2/10/2017 0:00,2,3,1,53003468,64566314,4088,12966,1,NA,NA,175686290,NA
"LEGO MOVIE, THE",69.1,3,26,27,24,26,29,89,92,90,86,90,39,43,36,34,40,11,13,11,10,11,20,24,22,15,18,NA,NA,NA,NA,NA,2014,42399,FAMILY,ANIMATED,WARNER BROS.,PG,2/7/2014 0:00,2,3,1,69050279,80302930,3775,18291,1,NA,NA,257756197,NA
"LEGO NINJAGO MOVIE, THE",20.4,3,21,22,18,16,25,88,88,88,86,90,33,34,35,23,35,8,10,6,8,9,13,15,11,11,14,5,7,3,5,8,2017,48473,FAMILY,ANIMATED,WARNER BROS.,PG,9/22/2017 1:00,9,3,1,20433071,23556065,4047,5049,3,NA,NA,59254467,NA
"LIGHT BETWEEN OCEANS, THE",6.2,4,5,3,5,4,6,52,51,55,50,54,33,30,35,31,35,3,2,4,2,4,16,11,13,20,18,1,0,1,1,1,2016,49795,HUMN INTST DRMA,ABOUT FAMILY,DISNEY,PG-13,9/2/2016 1:00,9,4,1,6179208,7611026,1500,4119,6,LABOR DAY,NA,12533911,NA
"LOFT, THE",2.7,3,17,15,18,16,18,59,50,62,60,64,35,36,34,34,36,4,4,4,4,6,8,8,6,6,10,NA,NA,NA,NA,NA,2015,45847,SUSPNS/THRILLER,KILLER/MURDER,OPEN ROAD FILMS,R,1/30/2015 0:00,1,3,1,2747342,3753684,1841,1492,10,SUPERBOWL,NA,5981749,NA
"LONE RANGER, THE",29.2,3,25,24,27,26,24,89,88,92,86,90,42,45,42,38,43,13,14,15,11,14,16,15,19,13,18,NA,NA,NA,NA,NA,2013,40084,ACTION ADVENTURE,WESTERN,DISNEY,PG-13,7/3/2013 1:00,7,3,1,29210849,59961192,3904,7482,2,FOURTH OF JULY,NA,89289910,NA
"LONGEST RIDE, THE",13,3,18,14,15,23,21,68,58,65,74,76,28,27,23,32,30,4,1,2,7,7,7,3,4,12,11,NA,NA,NA,NA,NA,2015,44550,ROMANTIC DRAMA,PERIOD,20TH CENTURY FOX,PG-13,4/10/2015 1:00,4,3,1,13019686,16660516,3366,3868,3,NA,NA,37446117,NA
"MAGNIFICENT SEVEN (2016), THE",34.7,3,27,26,31,22,28,86,88,91,74,90,54,59,61,42,50,16,20,23,7,15,26,29,37,13,24,6,8,10,1,7,2016,63165,ACTION DRAMA,WESTERN,COLUMBIA PICTURES,PG-13,9/23/2016 1:00,9,3,1,34703397,45905901,3674,9446,1,NA,NA,93427848,NA
"MAN FROM U.N.C.L.E., THE",13.4,3,16,16,20,12,17,69,71,75,59,71,35,38,46,22,33,12,12,14,5,15,14,15,17,7,16,6,6,8,3,7,2015,47547,ACTION DRAMA,ESPIONAGE,WARNER BROS.,PG-13,8/14/2015 1:00,8,3,1,13421036,19216840,3638,3689,3,NA,NA,45434443,NA
"MARTIAN, THE",54.3,3,29,26,34,24,32,81,83,85,74,81,54,54,58,46,55,18,17,24,12,17,24,25,33,17,24,14,11,17,9,17,2015,49092,ACTION DRAMA,SCIENCE FICTION,20TH CENTURY FOX,PG-13,10/2/2015 1:00,10,3,1,54308575,71710329,3831,14176,1,NA,NA,228430993,NA
"MAZE RUNNER, THE",32.5,3,27,30,21,34,24,80,82,80,85,72,53,61,44,59,49,14,19,9,18,9,26,34,23,32,15,NA,NA,NA,NA,NA,2014,44393,SUSPNS/THRILLER,SCIENCE FICTION,20TH CENTURY FOX,PG-13,9/19/2014 1:00,9,3,1,32512804,40518327,3604,9021,1,NA,NA,102425585,NA
"MAZE RUNNER: SCORCH TRIALS, THE",30.3,3,25,25,21,33,21,83,91,80,85,75,57,58,54,60,54,14,23,10,17,9,28,33,25,35,20,7,9,6,9,6,2015,49527,SUSPNS/THRILLER,SCIENCE FICTION,20TH CENTURY FOX,PG-13,9/18/2015 1:00,9,3,1,30316510,37685572,3791,7997,1,NA,NA,81696695,NA
"MONUMENTS MEN, THE",22,3,17,18,19,14,19,72,75,78,62,74,49,48,55,38,56,20,15,28,10,28,23,20,34,11,24,NA,NA,NA,NA,NA,2014,43433,HUMN INTST DRMA,WAR,SONY PICTURES,PG-13,2/7/2014 0:00,2,3,1,22003433,28668667,3083,7137,2,NA,NA,78031620,NA
"MORTAL INSTRUMENTS: CITY OF BONES, THE",9.3,3,13,9,8,20,14,51,50,47,62,47,33,28,26,41,34,5,3,2,10,5,10,6,4,18,10,NA,NA,NA,NA,NA,2013,42278,ACTION ADVENTURE,FANTASY,SONY PICTURES,PG-13,8/21/2013 1:00,8,3,1,9336957,17454184,3118,2995,3,NA,NA,31165421,NA
"MOUNTAIN BETWEEN US, THE",10.6,3,18,8,15,16,27,75,65,76,74,80,38,32,36,37,43,9,3,6,10,15,14,5,9,16,24,6,2,5,4,9,2017,62255,HUMN INTST DRMA,DISASTER,20TH CENTURY FOX,PG-13,10/6/2017 1:00,10,3,1,10551336,14852922,3088,3417,2,NA,NA,30327627,NA
"MUMMY (2017), THE",31.7,3,34,32,35,36,34,93,92,94,92,92,45,48,51,40,38,12,13,15,9,10,20,19,25,16,16,11,11,15,11,7,2017,46739,ACTION ADVENTURE,MONSTER/CREATURE,UNIVERSAL,PG-13,6/9/2017 1:00,6,3,1,31668375,42610700,4035,7848,2,NA,NA,80072590,NA
"NICE GUYS, THE",11.2,3,18,18,18,16,18,67,63,73,64,67,31,30,34,24,36,4,4,4,3,5,8,7,12,5,10,2,2,2,0,2,2016,49340,ACTION COMEDY,MURDER INVESTIGATION,WARNER BROS.,R,5/20/2016 1:00,5,3,1,11203270,15363672,2865,3910,4,NA,NA,36247227,NA
"NIGHT BEFORE (2015), THE",9.9,3,17,15,17,21,15,65,61,69,70,62,44,43,43,47,44,7,5,6,9,6,10,8,12,12,8,2,1,3,4,3,2015,48138,HUMN INTST CMDY,BUDDY,COLUMBIA/TRISTAR,R,11/20/2015 0:00,11,3,1,9880536,15902366,2960,3338,4,NA,NA,43035725,NA
"NOVEMBER MAN, THE",10.1,4,17,14,21,15,19,68,66,83,57,68,33,35,41,19,33,7,10,12,2,5,12,14,17,5,10,NA,NA,NA,NA,NA,2014,48004,SUSPNS/THRILLER,ESPIONAGE,RELATIVITY MEDIA,R,8/27/2014 1:00,8,4,1,10105877,13670339,2776,3640,6,LABOR DAY,NA,25013106,NA
"NUT JOB, THE",25.7,4,16,15,15,15,19,63,61,58,65,67,37,38,33,35,41,4,6,2,5,6,9,11,4,10,12,NA,NA,NA,NA,NA,2014,44889,FAMILY,ANIMATED,OPEN ROAD FILMS,PG,1/17/2014 0:00,1,4,1,25700000,27955245,3427,7499,3,MARTIN LUTHER KING,NA,64238767,NA
"NUT JOB 2: NUTTY BY NATURE, THE",8.3,3,20,16,14,26,25,74,77,70,75,78,33,35,30,35,34,6,5,4,5,8,8,7,7,9,12,5,3,4,5,6,2017,47140,FAMILY,ANIMATED,OPEN ROAD FILMS,PG,8/11/2017 1:00,8,3,1,8342311,12583645,4003,2084,3,NA,NA,28342490,NA
"OTHER WOMAN (2014), THE",24.8,3,19,14,14,22,26,71,56,66,81,83,38,21,25,48,49,11,2,7,16,20,15,3,12,22,24,NA,NA,NA,NA,NA,2014,45161,HUMN INTST CMDY,REVENGE,20TH CENTURY FOX,PG-13,4/25/2014 1:00,4,3,1,24763752,33145472,3205,7727,1,NA,NA,83906114,NA
"PEANUTS MOVIE, THE",44.2,3,38,37,31,41,41,90,87,87,93,95,49,45,46,52,52,14,10,10,18,19,29,23,20,36,36,11,9,6,14,16,2015,43597,FAMILY,ANIMATED,20TH CENTURY FOX,G,11/6/2015 0:00,11,3,1,44213073,58289856,3897,11345,2,NA,NA,130174897,NA
"PERFECT GUY, THE",25.9,3,18,15,16,19,22,62,60,60,64,64,44,34,35,54,50,7,3,5,10,10,16,9,9,22,24,6,3,3,6,9,2015,49721,SUSPNS/THRILLER,LOVE TRIANGLE,SONY SCREEN GEMS,PG-13,9/11/2015 1:00,9,3,1,25888154,31710472,2221,11656,1,NA,NA,57017904,NA
"PERFECT MATCH, THE",4.3,3,8,7,7,8,11,41,39,35,44,45,34,29,33,35,39,2,1,1,3,4,6,3,5,6,9,1,0,0,1,2,2016,65693,ROMANTIC COMEDY,AF.AM.,LIONS GATE FILMS,R,3/11/2016 0:00,3,3,1,4294232,5406179,925,4642,6,NA,NA,9658370,NA
"PROMISE (2017), THE",4.1,3,6,6,7,5,7,53,49,52,45,59,27,24,30,28,25,3,1,3,1,4,5,2,7,3,7,1,0,1,0,2,2017,68699,ROMANTIC DRAMA,WAR,OPEN ROAD FILMS,PG-13,4/21/2017 1:00,4,3,1,4095718,5624018,2251,1820,9,NA,NA,8186236,NA
"PURGE, THE",34.1,3,23,28,20,27,18,60,70,62,59,51,35,38,31,41,30,6,8,2,10,5,14,17,10,16,13,NA,NA,NA,NA,NA,2013,41722,SUSPNS/THRILLER,CRIME THEME,UNIVERSAL,R,6/7/2013 1:00,6,3,1,34058360,43644850,2536,13430,1,NA,NA,64423650,NA
"PURGE: ANARCHY, THE",29.8,3,23,26,19,25,21,79,84,79,83,71,42,49,40,44,33,8,11,7,14,4,17,20,16,20,11,NA,NA,NA,NA,NA,2014,46673,SUSPNS/THRILLER,CRIME THEME,UNIVERSAL,R,7/18/2014 1:00,7,3,1,29816675,41376145,2806,10626,2,NA,NA,71519230,NA
"PURGE: ELECTION YEAR, THE",36.1,4,23,25,21,24,21,80,81,79,84,77,40,40,38,44,38,9,11,6,13,6,14,17,10,18,11,3,1,1,5,3,2016,62262,SUSPNS/THRILLER,CRIME THEME,UNIVERSAL,R,7/1/2016 1:00,7,4,1,36139295,46410275,2796,12925,3,FOURTH OF JULY,NA,79003080,NA
"QUIET ONES, THE",3.9,3,11,10,9,13,10,49,44,46,57,49,28,25,23,34,28,3,3,2,7,1,6,6,4,9,4,NA,NA,NA,NA,NA,2014,44719,HORROR,SUPERNATURAL,LIONS GATE FILMS,PG-13,4/25/2014 1:00,4,3,1,3880053,4761032,2027,1914,7,NA,NA,8496112,NA
"RESURRECTION OF GAVIN STONE, THE",1.2,3,0,0,1,0,1,35,40,41,31,27,29,34,31,25,23,1,1,2,0,0,2,2,4,0,0,0,0,0,0,0,2017,68125,HUMN INTST DRMA,BOY MEETS GIRL,OTL RELEASING,PG,1/20/2017 0:00,1,3,1,1206771,1577053,890,1356,19,NA,NA,2277776,NA
"REVENANT (2015), THE",39.8,3,24,21,26,22,27,74,70,81,64,78,49,51,58,33,49,9,11,11,4,10,14,15,15,7,19,5,6,5,2,6,2016,48898,SUSPNS/THRILLER,REVENGE,20TH CENTURY FOX,R,1/8/2016 0:00,1,3,3,39826840,56617868,3375,11801,2,NA,8793,183635922,NA
"SECOND BEST EXOTIC MARIGOLD HOTEL, THE",8.5,3,6,5,5,5,8,49,40,53,44,56,29,26,26,24,36,4,3,3,1,8,6,2,6,4,11,NA,NA,NA,NA,NA,2015,47040,HUMN INTST CMDY,ENSEMBLE CAST,FOX SEARCHLIGHT PICTURES,PG,3/6/2015 0:00,3,3,1,8540370,12360265,1573,5429,3,NA,NA,33071558,NA
"SECRET LIFE OF PETS, THE",104.4,3,35,30,29,41,40,92,86,88,98,93,57,49,47,66,66,12,9,7,20,13,24,19,20,30,26,10,5,6,15,14,2016,44447,FAMILY,ANIMATED,UNIVERSAL,PG,7/8/2016 1:00,7,3,1,104352905,152587865,4370,23879,1,NA,NA,368324855,NA
"SECRET LIFE OF WALTER MITTY, THE",12.8,3,19,16,21,20,20,80,74,86,78,84,29,28,27,32,27,4,3,3,5,6,5,5,6,7,5,NA,NA,NA,NA,NA,2013,42646,HUMN INTST CMDY,QUEST,20TH CENTURY FOX,PG,12/25/2013 0:00,12,3,1,12765508,37469237,2909,4388,7,CHRISTMAS,NA,58229120,NA
"SHACK, THE",16.2,3,15,16,14,14,16,55,51,54,54,60,33,33,24,37,36,5,4,4,5,6,7,5,4,8,10,3,2,1,4,4,2017,64436,HUMN INTST DRMA,SPIRITUALITY,LIONS GATE FILMS,PG-13,3/3/2017 0:00,3,3,1,16172119,22218691,2888,5600,3,NA,NA,57330873,NA
"SHALLOWS, THE",16.8,3,16,14,13,21,15,61,59,60,66,59,35,36,36,40,29,4,3,4,6,2,8,6,8,9,7,2,2,2,3,2,2016,64490,SUSPNS/THRILLER,PSYCHOLOGICAL,COLUMBIA PICTURES,PG-13,6/24/2016 1:00,6,3,1,16800868,26251647,2962,5672,4,NA,NA,55121623,NA
"SMURFS 2, THE",17.5,3,33,31,32,32,36,90,88,87,91,92,25,21,18,27,31,3,3,3,4,3,11,6,10,14,12,NA,NA,NA,NA,NA,2013,40595,FAMILY,ANIMATED,SONY PICTURES,PG,7/31/2013 1:00,7,3,1,17548389,37143503,3866,4539,3,NA,NA,71017784,NA
"SNOWMAN, THE",3.4,3,14,12,13,12,16,72,73,74,63,72,38,42,40,36,33,5,6,5,5,4,9,10,10,9,7,3,3,3,3,2,2017,65985,SUSPNS/THRILLER,KILLER/MURDER,UNIVERSAL,R,10/20/2017 1:00,10,3,1,3372565,4586585,1812,1861,8,NA,NA,6656880,NA
"SPACE BETWEEN US, THE",3.8,3,13,10,10,18,14,69,61,65,80,70,33,30,30,40,30,3,2,3,6,2,8,4,7,14,8,2,1,2,2,1,2017,65332,ROMANTIC DRAMA,SCIENCE FICTION,STX ENTERTAINMENT,PG-13,2/3/2017 0:00,2,3,1,3775596,4825158,2812,1343,9,SUPERBOWL,NA,7829766,NA
"SPONGEBOB MOVIE: SPONGE OUT OF WATER, THE",55.4,3,28,30,24,29,28,89,92,82,94,92,38,47,31,38,36,8,13,3,9,9,18,22,10,18,19,NA,NA,NA,NA,NA,2015,45814,FAMILY,ANIMATED,PARAMOUNT,PG,2/6/2015 0:00,2,3,1,55365012,63132561,3641,15206,1,NA,NA,162950647,NA
"STAR, THE",9.8,3,12,9,9,12,16,51,49,52,47,54,37,34,37,35,39,3,2,2,3,5,5,4,5,4,6,2,1,1,1,5,2017,64489,FAMILY,ANIMATED,COLUMBIA PICTURES,PG,11/17/2017 0:00,11,3,1,9812674,15157196,2837,3459,6,NA,0,40785511,NA
"TRANSPORTER REFUELED, THE",9,4,15,18,18,12,12,66,78,79,50,61,39,40,45,34,33,6,8,9,4,3,22,33,28,13,13,2,2,2,0,2,2015,49104,ACTION DRAMA,MARTIAL ARTS,EUROPACORP USA,PG-13,9/4/2015 1:00,9,4,1,9005474,10643496,3434,2622,5,LABOR DAY,NA,16027866,NA
"VISIT (2015-I), THE",25.4,3,21,18,16,28,20,74,75,70,80,70,41,42,35,45,43,8,8,5,12,7,19,17,17,25,17,5,5,4,9,4,2015,49547,HORROR,PSYCHOLOGICAL,UNIVERSAL,PG-13,9/11/2015 1:00,9,3,1,25427560,30998320,3069,8285,2,NA,NA,65069140,NA
"WALK, THE",3.7,3,17,17,19,15,18,65,71,70,58,63,30,30,29,28,32,5,5,6,4,6,6,5,6,4,9,3,1,3,3,3,2015,48314,HUMN INTST DRMA,REAL EVENTS,TRISTAR PICTURES,PG,10/9/2015 1:00,10,3,2,3719177,5262807,2509,1482,7,COLUMBUS DAY,138,10137502,NA
"WAY, WAY BACK, THE",3.4,3,5,4,5,5,5,33,28,37,26,38,22,17,23,25,25,1,1,0,2,1,3,1,1,4,3,NA,NA,NA,NA,NA,2013,44253,HUMN INTST CMDY,COMING-OF-AGE,FOX SEARCHLIGHT PICTURES,PG-13,7/26/2013 1:00,7,3,4,3445814,5190886,886,3889,11,NA,57,21498213,NA
"WEDDING RINGER, THE",24,4,21,22,17,23,23,82,78,82,83,85,41,44,36,42,44,8,9,5,10,9,14,13,9,17,19,NA,NA,NA,NA,NA,2015,45293,HUMN INTST CMDY,WEDDING/MARRIAGE,SONY SCREEN GEMS,R,1/16/2015 0:00,1,4,1,24042152,28076500,3003,8006,3,MARTIN LUTHER KING,NA,64460211,NA
"WILD LIFE (2016), THE",3.3,3,11,10,10,13,13,59,65,54,64,55,45,43,42,46,49,3,5,1,6,2,18,26,13,21,13,2,0,1,3,2,2016,49570,FAMILY,ANIMATED,LIONS GATE FILMS,PG,9/9/2016 1:00,9,3,1,3342697,4014269,2493,1341,5,NA,NA,7965609,NA
"WITCH, THE",8.8,3,10,8,12,11,9,56,59,61,53,49,39,39,39,41,38,4,3,5,4,4,6,5,7,6,6,1,0,1,0,1,2016,64294,HORROR,PERIOD,A24 FILMS,R,2/19/2016 0:00,2,3,1,8800230,11608529,2046,4301,4,NA,NA,25138292,NA
"WOLF OF WALL STREET, THE",18.4,3,15,14,15,13,16,76,74,84,68,77,38,37,42,35,38,8,9,9,4,8,7,7,8,4,8,NA,NA,NA,NA,NA,2013,42823,HUMN INTST DRMA,CRIME THEME,PARAMOUNT,R,12/25/2013 0:00,12,3,1,18361578,49895114,2537,7238,5,CHRISTMAS,NA,116866727,NA
"WOLVERINE, THE",53.1,3,26,30,29,20,25,90,90,96,87,89,56,61,62,43,58,21,26,27,12,19,29,36,39,17,24,NA,NA,NA,NA,NA,2013,41843,ACTION DRAMA,SCIENCE FICTION,20TH CENTURY FOX,PG-13,7/26/2013 1:00,7,3,1,53113752,73313850,3924,13536,1,NA,NA,132550960,NA
"WOMAN IN BLACK: ANGEL OF DEATH, THE",15,3,12,13,11,15,10,67,69,60,77,63,31,31,31,35,27,4,4,2,6,5,7,9,6,8,6,NA,NA,NA,NA,NA,2015,45042,HORROR,SUPERNATURAL,RELATIVITY MEDIA,PG-13,1/2/2015 0:00,1,3,1,15027415,17509105,2602,5775,4,NEW YEAR,NA,26496583,NA
"WORLD'S END, THE",8.8,3,12,14,16,10,10,68,75,77,57,60,38,44,41,28,34,7,11,11,2,5,11,13,17,6,8,NA,NA,NA,NA,NA,2013,42997,ACTION COMEDY,BUDDY,FOCUS FEATURES,R,8/23/2013 1:00,8,3,1,8790237,11809234,1549,5675,4,NA,NA,26003149,NA
"YOUNG MESSIAH, THE",3.3,3,8,7,7,7,10,45,43,43,42,51,31,30,33,27,34,3,2,3,3,6,7,5,6,7,9,1,1,1,1,1,2016,45452,HUMN INTST DRMA,PERIOD,FOCUS FEATURES,PG-13,3/11/2016 0:00,3,3,1,3294876,4312355,1761,1871,7,NA,NA,6462576,NA
THINK LIKE A MAN TOO,29.2,3,23,20,18,27,27,69,63,70,69,74,35,33,29,41,37,8,7,6,10,9,12,11,8,13,14,NA,NA,NA,NA,NA,2014,44850,ROMANTIC COMEDY,AF.AM.,SONY SCREEN GEMS,PG-13,6/20/2014 1:00,6,3,1,29241911,37768360,2225,13142,1,NA,NA,65182182,NA
THIS IS THE END,20.7,3,21,20,19,21,23,70,73,75,65,66,40,45,37,44,38,5,7,4,6,4,10,11,10,11,8,NA,NA,NA,NA,NA,2013,42228,ZANY COMEDY,DISASTER,SONY PICTURES,R,6/12/2013 1:00,6,3,1,20719162,44791524,3055,6782,2,NA,NA,101470202,NA
THIS IS WHERE I LEAVE YOU,11.6,3,16,13,16,18,18,70,61,70,69,81,36,26,33,37,45,9,3,8,10,11,13,6,12,15,20,NA,NA,NA,NA,NA,2014,46176,HUMN INTST CMDY,ABOUT FAMILY,WARNER BROS.,R,9/19/2014 1:00,9,3,1,11558149,15546751,2868,4030,3,NA,NA,34290142,NA
THOR: RAGNAROK,122.7,3,48,48,50,45,46,89,91,90,88,85,63,66,67,65,54,27,29,32,27,20,50,53,61,48,37,24,23,29,26,19,2017,45497,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,11/3/2017 1:00,11,3,1,122744989,154989707,4080,30085,1,NA,NA,313694838,NA
THOR: THE DARK WORLD,85.7,3,44,48,43,42,40,88,92,89,90,80,59,66,65,55,52,23,30,29,14,17,38,45,42,36,31,NA,NA,NA,NA,NA,2013,40314,ACTION ADVENTURE,SUPERHERO,DISNEY,PG-13,11/8/2013 0:00,11,3,1,85737841,108511114,3841,22322,1,NA,NA,206360018,NA
